CustomerID,Recency,Frequency,MonetaryValue,Length,R,F,M,L,RFM_segment,RFM_score
12347.0,2,5,92.96000000000001,54.4,5,5,5,1,5551,16
12348.0,249,2,141.76,54.5,1,3,4,2,1342,10
12352.0,36,6,503.6,12.833333333333334,3,4,5,2,3452,14
12359.0,305,1,15.9,26.0,1,5,5,2,1552,13
12360.0,52,1,15.299999999999999,60.0,3,5,5,4,3554,17
12362.0,3,9,200.13,31.88888888888889,5,5,5,2,5552,17
12364.0,8,3,35.7,34.333333333333336,5,4,4,4,5444,17
12365.0,291,1,320.69,0.0,1,2,3,5,1235,11
12370.0,358,1,68.0,2.0,1,5,5,1,1551,12
12371.0,45,1,360.0,14.0,3,4,4,5,3445,16
12377.0,315,1,19.799999999999997,39.0,1,4,4,5,1445,14
12380.0,22,2,183.42000000000002,27.5,4,4,5,3,4453,16
12381.0,5,4,55.2,28.25,5,4,4,4,5444,17
12383.0,185,4,72.4,41.25,1,4,4,3,1443,12
12386.0,338,1,68.0,29.0,1,1,2,5,1125,9
12388.0,16,3,50.940000000000005,37.0,4,4,5,1,4451,14
12393.0,330,1,17.700000000000003,3.0,1,4,4,2,1442,11
12395.0,19,11,190.23,31.454545454545453,4,5,5,1,4551,15
12399.0,119,3,123.0,47.333333333333336,2,4,4,4,2444,14
12407.0,134,2,113.44000000000001,25.0,2,4,4,3,2443,13
12408.0,33,2,32.7,33.0,3,4,5,2,3452,14
12409.0,79,1,79.19999999999999,0.0,2,4,5,4,2454,15
12410.0,309,1,17.0,0.0,1,2,3,5,1235,11
12412.0,75,2,29.759999999999998,46.5,2,4,4,4,2444,14
12414.0,217,1,39.6,10.0,1,2,3,4,1234,10
12415.0,24,19,5771.98,15.947368421052632,3,5,5,1,3551,14
12417.0,3,8,126.4,43.75,5,5,5,1,5551,16
12421.0,115,1,30.0,58.0,2,3,3,1,2331,9
12423.0,192,5,53.85,31.8,1,5,4,1,1541,11
12427.0,22,1,42.96,38.0,4,3,3,1,4331,11
12428.0,120,6,712.6200000000001,12.666666666666666,2,5,5,2,2552,14
12429.0,173,1,10.08,55.0,1,4,5,1,1451,11
12431.0,36,13,1050.58,19.923076923076923,3,5,5,1,3551,14
12432.0,43,3,804.7,0.3333333333333333,3,4,5,4,3454,16
12433.0,1,5,167.88,19.2,5,5,5,1,5551,16
12437.0,2,16,477.71000000000004,15.1875,5,5,5,1,5551,16
12444.0,21,4,127.66,37.25,4,5,5,4,4554,18
12449.0,22,3,105.0,54.333333333333336,4,5,5,3,4553,17
12450.0,156,1,66.0,17.0,2,1,1,5,2115,9
12451.0,11,2,23.0,26.5,4,5,5,1,4551,15
12452.0,17,1,80.0,0.0,4,2,2,5,4225,13
12455.0,73,4,66.52,29.0,2,4,5,3,2453,14
12457.0,66,5,771.7,4.4,2,4,5,3,2453,14
12461.0,94,1,200.0,60.0,2,3,3,5,2335,13
12463.0,175,2,45.36000000000001,32.5,1,4,4,3,1443,12
12464.0,10,5,139.6,25.8,4,2,4,1,4241,11
12471.0,2,29,2076.69,12.172413793103448,5,5,5,1,5551,16
12472.0,32,4,49.06,40.0,3,5,5,1,3551,14
12473.0,29,3,91.12,28.0,3,5,5,3,3553,16
12474.0,17,17,284.0,17.823529411764707,4,5,5,1,4551,15
12476.0,16,9,499.59999999999997,29.333333333333332,4,5,5,1,4551,15
12477.0,23,4,201.9,34.75,3,5,5,2,3552,15
12480.0,267,1,15.0,68.0,1,5,5,1,1551,12
12481.0,23,7,147.57999999999998,20.857142857142858,3,5,5,1,3551,14
12483.0,17,5,272.98,24.2,4,4,5,1,4451,14
12484.0,33,3,303.8,23.0,3,5,5,1,3551,14
12488.0,10,2,32.550000000000004,32.5,4,3,4,5,4345,16
12490.0,5,8,313.68,25.75,5,5,5,1,5551,16
12492.0,63,1,15.600000000000001,42.0,2,2,2,5,2225,11
12493.0,166,1,24.96,31.0,1,2,2,5,1225,10
12494.0,16,4,46.07,31.5,4,4,4,1,4441,13
12498.0,21,2,26.200000000000003,18.0,4,2,2,5,4225,13
12500.0,23,9,1069.89,23.22222222222222,3,4,5,1,3451,13
12502.0,96,3,252.89999999999998,41.0,2,5,5,3,2553,15
12504.0,18,1,12.75,12.0,4,1,2,5,4125,12
12507.0,134,1,25.5,21.0,2,2,4,3,2243,11
12508.0,26,1,1.9500000000000002,2.0,3,4,2,5,3425,14
12512.0,66,1,5.95,0.0,2,3,1,5,2315,11
12517.0,28,4,108.57,40.0,3,5,5,3,3553,16
12518.0,1,4,101.4,27.0,5,5,5,4,5554,19
12520.0,79,4,36.53999999999999,48.25,2,5,5,3,2553,15
12522.0,39,1,14.22,12.0,3,1,1,5,3115,10
12523.0,19,9,167.67000000000002,21.22222222222222,4,4,4,1,4441,13
12524.0,9,6,292.19,37.166666666666664,4,5,5,1,4551,15
12526.0,1,2,35.400000000000006,46.5,5,4,4,4,5444,17
12527.0,295,1,50.400000000000006,30.0,1,2,2,2,1222,7
12528.0,9,4,91.2,43.75,4,4,4,1,4441,13
12530.0,60,1,17.0,64.0,2,4,4,2,2442,12
12536.0,43,2,8322.12,7.5,3,5,5,5,3555,18
12539.0,262,2,32.550000000000004,35.5,1,5,5,1,1551,12
12540.0,20,16,541.1800000000001,20.875,4,5,5,1,4551,15
12546.0,47,1,25.200000000000003,31.0,3,4,4,5,3445,16
12552.0,39,1,120.0,0.0,3,2,2,5,3225,12
12553.0,8,9,236.47,35.22222222222222,5,5,5,1,5551,16
12557.0,333,1,488.16,38.0,1,3,5,1,1351,10
12559.0,311,1,75.60000000000001,8.0,1,2,3,5,1235,11
12560.0,112,1,144.0,30.0,2,4,5,4,2454,15
12562.0,8,6,142.38,31.333333333333332,5,5,5,3,5553,18
12567.0,96,7,138.24,23.285714285714285,2,5,5,1,2551,13
12569.0,2,29,608.59,8.172413793103448,5,5,5,2,5552,17
